Image,Detections,Outlier
african-elephants-okavango-delta-botswana-REP9K1_jpg.rf.a1e01587eba907d944cb3a9e8dabf79d.jpg,41,Yes
ElephantsbyDavidSantiagoGarciaGaramba_jpg.rf.0309e7cd7ae21db1f7b73cb9da5c4740.jpg,95,Yes
elephant_46.jpg,46,Yes
elephant_47.jpg,47,Yes
he-appearance-of-nearly-600-elephants-in-Virunga-National-Park-1024x683_jpg.rf.a669fb2f026b230b3b41a554ad495c75.jpg,41,Yes
ndF_VEDw-2-scaled_jpg.rf.125774bb75966b67b1aac5e71a489ee9.jpg,54,Yes
_116597127_e15f002f-3f66-43c4-b391-f96949150ea3_jpg.rf.781153259102245d8dcea1a05281cb48.jpg,55,Yes
